2011,CVE-2011-3893,57cd6d709565e84e84385f8f2a9641ca3fa718be,1,07c55d8ea3f952cab2e53db374d28be5e85339ed,4,"84a96d6a3d6addb15a07d83c1190dbf79dd6b485,6168781f70ebac7da557207750d14f57c3cd4cb3,2912e87a6c9264d556734e2bf94a99c64cf9b102,b78e7197a81e193827cf2408fe25bc1f14843a72",0,,1,07c55d8ea3f952cab2e53db374d28be5e85339ed,4,"84a96d6a3d6addb15a07d83c1190dbf79dd6b485,6168781f70ebac7da557207750d14f57c3cd4cb3,2912e87a6c9264d556734e2bf94a99c64cf9b102,b78e7197a81e193827cf2408fe25bc1f14843a72",0.00%
2011,CVE-2011-3893,faaec4676cb4c7a2303d50df66c6290bc96a7657,1,31ad14c21e0735387ba8082c6e3436241f7ccfc8,1,b061d892edd76bbdb8cf70b244c661f45185b76c,0,,1,31ad14c21e0735387ba8082c6e3436241f7ccfc8,1,b061d892edd76bbdb8cf70b244c661f45185b76c,0.00%
2011,CVE-2011-3893,6fcf2bb8af0e7d6bb179e71e67e5fab8ef0d2ec2,1,5e56b30e1febefd4eee7a0831ccbcb979cc11a2e,1,0bde73d907dbe684e01bafc979bf4a04ddeace1d,0,,1,5e56b30e1febefd4eee7a0831ccbcb979cc11a2e,1,0bde73d907dbe684e01bafc979bf4a04ddeace1d,0.00%
2011,CVE-2011-3893,7149fce2cac0474a5fbc5b47add1158cd8bb283e,2,"07c55d8ea3f952cab2e53db374d28be5e85339ed,5e56b30e1febefd4eee7a0831ccbcb979cc11a2e",2,"ba87f0801d77c21eb1e4891ca1f846500bbb0939,0bde73d907dbe684e01bafc979bf4a04ddeace1d",0,,2,"07c55d8ea3f952cab2e53db374d28be5e85339ed,5e56b30e1febefd4eee7a0831ccbcb979cc11a2e",2,"ba87f0801d77c21eb1e4891ca1f846500bbb0939,0bde73d907dbe684e01bafc979bf4a04ddeace1d",0.00%
2011,CVE-2011-3893,f35e037c93cf7d25e65b4a2ed3674358f05e4bed,1,31ad14c21e0735387ba8082c6e3436241f7ccfc8,1,b061d892edd76bbdb8cf70b244c661f45185b76c,0,,1,31ad14c21e0735387ba8082c6e3436241f7ccfc8,1,b061d892edd76bbdb8cf70b244c661f45185b76c,0.00%
2011,CVE-2011-3895,e6d527ff729e42d80e4756cab779ff4ad693631b,1,07c55d8ea3f952cab2e53db374d28be5e85339ed,1,6168781f70ebac7da557207750d14f57c3cd4cb3,0,,1,07c55d8ea3f952cab2e53db374d28be5e85339ed,1,6168781f70ebac7da557207750d14f57c3cd4cb3,0.00%
2011,CVE-2011-3895,ff7f198d7f9504f71676327be0be47661cfe39d6,1,f74ce3a60d6ef49080df85c44b54280357109f56,2,"07c55d8ea3f952cab2e53db374d28be5e85339ed,ba87f0801d77c21eb1e4891ca1f846500bbb0939",0,,1,f74ce3a60d6ef49080df85c44b54280357109f56,2,"07c55d8ea3f952cab2e53db374d28be5e85339ed,ba87f0801d77c21eb1e4891ca1f846500bbb0939",0.00%
2011,CVE-2011-3895,f74ce3a60d6ef49080df85c44b54280357109f56,1,07c55d8ea3f952cab2e53db374d28be5e85339ed,3,"07c55d8ea3f952cab2e53db374d28be5e85339ed,a7adcf29cf4674d45cbc885b1eda6c22657a224b,ba87f0801d77c21eb1e4891ca1f846500bbb0939",1,07c55d8ea3f952cab2e53db374d28be5e85339ed,0,,2,"a7adcf29cf4674d45cbc885b1eda6c22657a224b,ba87f0801d77c21eb1e4891ca1f846500bbb0939",100.00%
2011,CVE-2011-3929,2d1c0dea5f6b91bec7f5fa53ec050913d851e366,1,f8007a14734ff9fc8a4dd0d0194ab2c645f72578,3,"115329f16062074e11ccf3b89ead6176606c9696,064cf251553ea810d61fa29f72f2f9bd067d3cb7,7458ccbb02a98ece4b4a9018a46eb13fff05b7c2",0,,1,f8007a14734ff9fc8a4dd0d0194ab2c645f72578,3,"115329f16062074e11ccf3b89ead6176606c9696,064cf251553ea810d61fa29f72f2f9bd067d3cb7,7458ccbb02a98ece4b4a9018a46eb13fff05b7c2",0.00%
2011,CVE-2011-3929,5cb57a16ede71d913384a0b3036a2c6df5da5e43,1,f8007a14734ff9fc8a4dd0d0194ab2c645f72578,1,115329f16062074e11ccf3b89ead6176606c9696,0,,1,f8007a14734ff9fc8a4dd0d0194ab2c645f72578,1,115329f16062074e11ccf3b89ead6176606c9696,0.00%
2011,CVE-2011-3929,f9de136b17bc72ff02f39c6a53756d72bbc4bd15,1,0b297700b787a68323629e836b15852c3331b4a0,0,,0,,1,0b297700b787a68323629e836b15852c3331b4a0,0,,
2011,CVE-2011-3934,247d30a7dba6684ccce4508424f35fd58465e535,1,8370e426e42f2e4b9d14a1fb8107ecfe5163ce7f,1,d86053a41689e8a5ed897ef071c62ef3fcdc3655,0,,1,8370e426e42f2e4b9d14a1fb8107ecfe5163ce7f,1,d86053a41689e8a5ed897ef071c62ef3fcdc3655,0.00%
2011,CVE-2011-3935,668494acd8b20f974c7722895d4a6a14c1005f1e,1,484e59a0a0329c4005ddacd05051925345f4362f,0,,0,,1,484e59a0a0329c4005ddacd05051925345f4362f,0,,
